code,name,name_kana,name_romaji
46201,鹿児島市,カゴシマシ,KAGOSHIMA SHI
46203,鹿屋市,カノヤシ,KANOYA SHI
46204,枕崎市,マクラザキシ,MAKURAZAKI SHI
46206,阿久根市,アクネシ,AKUNE SHI
46208,出水市,イズミシ,IZUMI SHI
46210,指宿市,イブスキシ,IBUSUKI SHI
46213,西之表市,ニシノオモテシ,NISHINOMOTE SHI
46214,垂水市,タルミズシ,TARUMIZU SHI
46215,薩摩川内市,サツマセンダイシ,SATSUMASENDAI SHI
46216,日置市,ヒオキシ,HIOKI SHI
46217,曽於市,ソオシ,SO SHI
46218,霧島市,キリシマシ,KIRISHIMA SHI
46219,いちき串木野市,イチキクシキノシ,ICHIKIKUSHIKINO SHI
46220,南さつま市,ミナミサツマシ,MINAMISATSUMA SHI
46221,志布志市,シブシシ,SHIBUSHI SHI
46222,奄美市,アマミシ,AMAMI SHI
46223,南九州市,ミナミキュウシュウシ,MINAMIKYUSHU SHI
46224,伊佐市,イサシ,ISA SHI
46225,姶良市,アイラシ,AIRA SHI
46303,鹿児島郡三島村,カゴシマグンミシマムラ,KAGOSHIMA GUN MISHIMA MURA
46304,鹿児島郡十島村,カゴシマグントシマムラ,KAGOSHIMA GUN TOSHIMA MURA
46392,薩摩郡さつま町,サツマグンサツマチョウ,SATSUMA GUN SATSUMA CHO
46404,出水郡長島町,イズミグンナガシマチョウ,IZUMI GUN NAGASHIMA CHO
46452,姶良郡湧水町,アイラグンユウスイチョウ,AIRA GUN YUSUI CHO
46468,曽於郡大崎町,ソオグンオオサキチョウ,SO GUN OSAKI CHO
46482,肝属郡東串良町,キモツキグンヒガシクシラチョウ,KIMOTSUKI GUN HIGASHIKUSHIRA CHO
46490,肝属郡錦江町,キモツキグンキンコウチョウ,KIMOTSUKI GUN KINKO CHO
46491,肝属郡南大隅町,キモツキグンミナミオオスミチョウ,KIMOTSUKI GUN MINAMIOSUMI CHO
46492,肝属郡肝付町,キモツキグンキモツキチョウ,KIMOTSUKI GUN KIMOTSUKI CHO
46501,熊毛郡中種子町,クマゲグンナカタネチョウ,KUMAGE GUN NAKATANE CHO
46502,熊毛郡南種子町,クマゲグンミナミタネチョウ,KUMAGE GUN MINAMITANE CHO
46505,熊毛郡屋久島町,クマゲグンヤクシマチョウ,KUMAGE GUN YAKUSHIMA CHO
46523,大島郡大和村,オオシマグンヤマトソン,OSHIMA GUN YAMATO SON
46524,大島郡宇検村,オオシマグンウケンソン,OSHIMA GUN UKEN SON
46525,大島郡瀬戸内町,オオシマグンセトウチチョウ,OSHIMA GUN SETOCHI CHO
46527,大島郡龍郷町,オオシマグンタツゴウチョウ,OSHIMA GUN TATSUGO CHO
46529,大島郡喜界町,オオシマグンキカイチョウ,OSHIMA GUN KIKAI CHO
46530,大島郡徳之島町,オオシマグントクノシマチョウ,OSHIMA GUN TOKUNOSHIMA CHO
46531,大島郡天城町,オオシマグンアマギチョウ,OSHIMA GUN AMAGI CHO
46532,大島郡伊仙町,オオシマグンイセンチョウ,OSHIMA GUN ISEN CHO
46533,大島郡和泊町,オオシマグンワドマリチョウ,OSHIMA GUN WADOMARI CHO
46534,大島郡知名町,オオシマグンチナチョウ,OSHIMA GUN CHINA CHO
46535,大島郡与論町,オオシマグンヨロンチョウ,OSHIMA GUN YORON CHO
