code,name,name_kana,name_romaji
09201,宇都宮市,ウツノミヤシ,UTSUNOMIYA SHI
09202,足利市,アシカガシ,ASHIKAGA SHI
09203,栃木市,トチギシ,TOCHIGI SHI
09204,佐野市,サノシ,SANO SHI
09205,鹿沼市,カヌマシ,KANUMA SHI
09206,日光市,ニッコウシ,NIKKO SHI
09208,小山市,オヤマシ,OYAMA SHI
09209,真岡市,モオカシ,MOKA SHI
09210,大田原市,オオタワラシ,OTAWARA SHI
09211,矢板市,ヤイタシ,YAITA SHI
09213,那須塩原市,ナスシオバラシ,NASUSHIOBARA SHI
09214,さくら市,サクラシ,SAKURA SHI
09215,那須烏山市,ナスカラスヤマシ,NASUKARASUYAMA SHI
09216,下野市,シモツケシ,SHIMOTSUKE SHI
09301,河内郡上三川町,カワチグンカミノカワマチ,KAWACHI GUN KAMINOKAWA MACHI
09342,芳賀郡益子町,ハガグンマシコマチ,HAGA GUN MASHIKO MACHI
09343,芳賀郡茂木町,ハガグンモテギマチ,HAGA GUN MOTEGI MACHI
09344,芳賀郡市貝町,ハガグンイチカイマチ,HAGA GUN ICHIKAI MACHI
09345,芳賀郡芳賀町,ハガグンハガマチ,HAGA GUN HAGA MACHI
09361,下都賀郡壬生町,シモツガグンミブマチ,SHIMOTSUGA GUN MIBU MACHI
09364,下都賀郡野木町,シモツガグンノギマチ,SHIMOTSUGA GUN NOGI MACHI
09384,塩谷郡塩谷町,シオヤグンシオヤマチ,SHIOYA GUN SHIOYA MACHI
09386,塩谷郡高根沢町,シオヤグンタカネザワマチ,SHIOYA GUN TAKANEZAWA MACHI
09407,那須郡那須町,ナスグンナスマチ,NASU GUN NASU MACHI
09411,那須郡那珂川町,ナスグンナカガワマチ,NASU GUN NAKAGAWA MACHI
