code,name,name_kana,name_romaji
02689,秋田市,アキタシ,AKITA SHI
02690,能代市,ノシロシ,NOSHIRO SHI
02691,横手市,ヨコテシ,YOKOTE SHI
02692,大館市,オオダテシ,ODATE SHI
02694,男鹿市,オガシ,OGA SHI
02695,湯沢市,ユザワシ,YUZAWA SHI
05209,鹿角市,カヅノシ,KAZUNO SHI
02696,由利本荘市,ユリホンジョウシ,YURIHONJO SHI
02697,潟上市,カタガミシ,KATAGAMI SHI
02698,大仙市,ダイセンシ,DAISEN SHI
02699,北秋田市,キタアキタシ,KITAAKITA SHI
02700,にかほ市,ニカホシ,NIKAHO SHI
02701,仙北市,センボクシ,SEMBOKU SHI
02755,鹿角郡小坂町,カヅノグンコサカマチ,KAZUNO GUN KOSAKA MACHI
02775,北秋田郡上小阿仁村,キタアキタグンカミコアニムラ,KITAAKITA GUN KAMIKOANI MURA
02790,山本郡藤里町,ヤマモトグンフジサトマチ,YAMAMOTO GUN FUJISATO MACHI
05348,山本郡三種町,ヤマモトグンミタネチョウ,YAMAMOTO GUN MITANE CHO
05349,山本郡八峰町,ヤマモトグンハッポウチョウ,YAMAMOTO GUN HAPPO CHO
02801,南秋田郡五城目町,ミナミアキタグンゴジョウメマチ,MINAMIAKITA GUN GOJOME MACHI
02803,南秋田郡八郎潟町,ミナミアキタグンハチロウガタマチ,MINAMIAKITA GUN HACHIROGATA MACHI
02806,南秋田郡井川町,ミナミアキタグンイカワマチ,MINAMIAKITA GUN IKAWA MACHI
05368,南秋田郡大潟村,ミナミアキタグンオオガタムラ,MINAMIAKITA GUN OGATA MURA
02844,仙北郡美郷町,センボクグンミサトチョウ,SEMBOKU GUN MISATO CHO
02867,雄勝郡羽後町,オガチグンウゴマチ,OGACHI GUN UGO MACHI
02868,雄勝郡東成瀬村,オガチグンヒガシナルセムラ,OGACHI GUN HIGASHINARUSE MURA
