code,name,name_kana,name_romaji
38201,松山市,マツヤマシ,MATSUYAMA SHI
38202,今治市,イマバリシ,IMABARI SHI
38203,宇和島市,ウワジマシ,UWAJIMA SHI
38204,八幡浜市,ヤワタハマシ,YAWATAHAMA SHI
38205,新居浜市,ニイハマシ,NIIHAMA SHI
38206,西条市,サイジョウシ,SAIJO SHI
38207,大洲市,オオズシ,OZU SHI
38210,伊予市,イヨシ,IYO SHI
38213,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI
38214,西予市,セイヨシ,SEIYO SHI
38215,東温市,トウオンシ,TOON SHI
38356,越智郡上島町,オチグンカミジマチョウ,OCHI GUN KAMIJIMA CHO
38386,上浮穴郡久万高原町,カミウケナグンクマコウゲンチョウ,KAMIUKENA GUN KUMAKOGEN CHO
38401,伊予郡松前町,イヨグンマサキチョウ,IYO GUN MASAKI CHO
38402,伊予郡砥部町,イヨグントベチョウ,IYO GUN TOBE CHO
38422,喜多郡内子町,キタグンウチコチョウ,KITA GUN UCHIKO CHO
38442,西宇和郡伊方町,ニシウワグンイカタチョウ,NISHIUWA GUN IKATA CHO
38484,北宇和郡松野町,キタウワグンマツノチョウ,KITAUWA GUN MATSUNO CHO
38488,北宇和郡鬼北町,キタウワグンキホクチョウ,KITAUWA GUN KIHOKU CHO
38506,南宇和郡愛南町,ミナミウワグンアイナンチョウ,MINAMIUWA GUN AINAN CHO
