code,name,name_kana,name_romaji
37201,高松市,タカマツシ,TAKAMATSU SHI
37202,丸亀市,マルガメシ,MARUGAME SHI
37203,坂出市,サカイデシ,SAKAIDE SHI
37204,善通寺市,ゼンツウジシ,ZENTSUJI SHI
37205,観音寺市,カンオンジシ,KANONJI SHI
37206,さぬき市,サヌキシ,SANUKI SHI
37207,東かがわ市,ヒガシカガワシ,HIGASHIKAGAWA SHI
37208,三豊市,ミトヨシ,MITOYO SHI
37322,小豆郡土庄町,ショウズグントノショウチョウ,SHOZU GUN TONOSHO CHO
37324,小豆郡小豆島町,ショウズグンショウドシマチョウ,SHOZU GUN SHODOSHIMA CHO
37341,木田郡三木町,キタグンミキチョウ,KITA GUN MIKI CHO
37364,香川郡直島町,カガワグンナオシマチョウ,KAGAWA GUN NAOSHIMA CHO
37386,綾歌郡宇多津町,アヤウタグンウタヅチョウ,AYAUTA GUN UTAZU CHO
37387,綾歌郡綾川町,アヤウタグンアヤガワチョウ,AYAUTA GUN AYAGAWA CHO
37403,仲多度郡琴平町,ナカタドグンコトヒラチョウ,NAKATADO GUN KOTOHIRA CHO
37404,仲多度郡多度津町,ナカタドグンタドツチョウ,NAKATADO GUN TADOTSU CHO
37406,仲多度郡まんのう町,ナカタドグンマンノウチョウ,NAKATADO GUN MANNO CHO
