code,name,name_kana,name_romaji
21201,岐阜市,ギフシ,GIFU SHI
21202,大垣市,オオガキシ,OGAKI SHI
21203,高山市,タカヤマシ,TAKAYAMA SHI
21204,多治見市,タジミシ,TAJIMI SHI
21205,関市,セキシ,SEKI SHI
21206,中津川市,ナカツガワシ,NAKATSUGAWA SHI
21207,美濃市,ミノシ,MINO SHI
21208,瑞浪市,ミズナミシ,MIZUNAMI SHI
21209,羽島市,ハシマシ,HASHIMA SHI
21210,恵那市,エナシ,ENA SHI
21211,美濃加茂市,ミノカモシ,MINOKAMO SHI
21212,土岐市,トキシ,TOKI SHI
21213,各務原市,カカミガハラシ,KAKAMIGAHARA SHI
21214,可児市,カニシ,KANI SHI
21215,山県市,ヤマガタシ,YAMAGATA SHI
21216,瑞穂市,ミズホシ,MIZUHO SHI
21217,飛騨市,ヒダシ,HIDA SHI
21218,本巣市,モトスシ,MOTOSU SHI
21219,郡上市,グジョウシ,GUJO SHI
21220,下呂市,ゲロシ,GERO SHI
21221,海津市,カイヅシ,KAIZU SHI
21302,羽島郡岐南町,ハシマグンギナンチョウ,HASHIMA GUN GINAN CHO
21303,羽島郡笠松町,ハシマグンカサマツチョウ,HASHIMA GUN KASAMATSU CHO
21341,養老郡養老町,ヨウロウグンヨウロウチョウ,YORO GUN YORO CHO
21361,不破郡垂井町,フワグンタルイチョウ,FUWA GUN TARUI CHO
21362,不破郡関ケ原町,フワグンセキガハラチョウ,FUWA GUN SEKIGAHARA CHO
21381,安八郡神戸町,アンパチグンゴウドチョウ,AMPACHI GUN GODO CHO
21382,安八郡輪之内町,アンパチグンワノウチチョウ,AMPACHI GUN WANOCHI CHO
21383,安八郡安八町,アンパチグンアンパチチョウ,AMPACHI GUN AMPACHI CHO
21401,揖斐郡揖斐川町,イビグンイビガワチョウ,IBI GUN IBIGAWA CHO
21403,揖斐郡大野町,イビグンオオノチョウ,IBI GUN ONO CHO
21404,揖斐郡池田町,イビグンイケダチョウ,IBI GUN IKEDA CHO
21421,本巣郡北方町,モトスグンキタガタチョウ,MOTOSU GUN KITAGATA CHO
21501,加茂郡坂祝町,カモグンサカホギチョウ,KAMO GUN SAKAHOGI CHO
21502,加茂郡富加町,カモグントミカチョウ,KAMO GUN TOMIKA CHO
21503,加茂郡川辺町,カモグンカワベチョウ,KAMO GUN KAWABE CHO
21504,加茂郡七宗町,カモグンヒチソウチョウ,KAMO GUN HICHISO CHO
21505,加茂郡八百津町,カモグンヤオツチョウ,KAMO GUN YAOTSU CHO
21506,加茂郡白川町,カモグンシラカワチョウ,KAMO GUN SHIRAKAWA CHO
21507,加茂郡東白川村,カモグンヒガシシラカワムラ,KAMO GUN HIGASHISHIRAKAWA MURA
21521,可児郡御嵩町,カニグンミタケチョウ,KANI GUN MITAKE CHO
21604,大野郡白川村,オオノグンシラカワムラ,ONO GUN SHIRAKAWA MURA
