code,name,name_kana,name_romaji
15101,新潟市北区,ニイガタシキタク,NIIGATA SHI KITA KU
15102,新潟市東区,ニイガタシヒガシク,NIIGATA SHI HIGASHI KU
15103,新潟市中央区,ニイガタシチュウオウク,NIIGATA SHI CHUO KU
15104,新潟市江南区,ニイガタシコウナンク,NIIGATA SHI KONAN KU
15105,新潟市秋葉区,ニイガタシアキハク,NIIGATA SHI AKIHA KU
15106,新潟市南区,ニイガタシミナミク,NIIGATA SHI MINAMI KU
15107,新潟市西区,ニイガタシニシク,NIIGATA SHI NISHI KU
15108,新潟市西蒲区,ニイガタシニシカンク,NIIGATA SHI NISHIKAN KU
15202,長岡市,ナガオカシ,NAGAOKA SHI
15204,三条市,サンジョウシ,SANJO SHI
15205,柏崎市,カシワザキシ,KASHIWAZAKI SHI
15206,新発田市,シバタシ,SHIBATA SHI
15208,小千谷市,オヂヤシ,OJIYA SHI
15209,加茂市,カモシ,KAMO SHI
15210,十日町市,トオカマチシ,TOKAMACHI SHI
15211,見附市,ミツケシ,MITSUKE SHI
15212,村上市,ムラカミシ,MURAKAMI SHI
15213,燕市,ツバメシ,TSUBAME SHI
15216,糸魚川市,イトイガワシ,ITOIGAWA SHI
15217,妙高市,ミョウコウシ,MYOKO SHI
15218,五泉市,ゴセンシ,GOSEN SHI
15222,上越市,ジョウエツシ,JOETSU SHI
15223,阿賀野市,アガノシ,AGANO SHI
15224,佐渡市,サドシ,SADO SHI
15225,魚沼市,ウオヌマシ,UONUMA SHI
15226,南魚沼市,ミナミウオヌマシ,MINAMIUONUMA SHI
15227,胎内市,タイナイシ,TAINAI SHI
15307,北蒲原郡聖籠町,キタカンバラグンセイロウマチ,KITAKAMBARA GUN SEIRO MACHI
15342,西蒲原郡弥彦村,ニシカンバラグンヤヒコムラ,NISHIKAMBARA GUN YAHIKO MURA
15361,南蒲原郡田上町,ミナミカンバラグンタガミマチ,MINAMIKAMBARA GUN TAGAMI MACHI
15385,東蒲原郡阿賀町,ヒガシカンバラグンアガマチ,HIGASHIKAMBARA GUN AGA MACHI
15405,三島郡出雲崎町,サントウグンイズモザキマチ,SANTO GUN IZUMOZAKI MACHI
15461,南魚沼郡湯沢町,ミナミウオヌマグンユザワマチ,MINAMIUONUMA GUN YUZAWA MACHI
15482,中魚沼郡津南町,ナカウオヌマグンツナンマチ,NAKAUONUMA GUN TSUNAN MACHI
15504,刈羽郡刈羽村,カリワグンカリワムラ,KARIWA GUN KARIWA MURA
15581,岩船郡関川村,イワフネグンセキカワムラ,IWAFUNE GUN SEKIKAWA MURA
15586,岩船郡粟島浦村,イワフネグンアワシマウラムラ,IWAFUNE GUN AWASHIMAURA MURA
