code,name,name_kana,name_romaji
44201,大分市,オオイタシ,OITA SHI
44202,別府市,ベップシ,BEPPU SHI
44203,中津市,ナカツシ,NAKATSU SHI
44204,日田市,ヒタシ,HITA SHI
44205,佐伯市,サイキシ,SAIKI SHI
44206,臼杵市,ウスキシ,USUKI SHI
44207,津久見市,ツクミシ,TSUKUMI SHI
44208,竹田市,タケタシ,TAKETA SHI
44209,豊後高田市,ブンゴタカダシ,BUNGOTAKADA SHI
44210,杵築市,キツキシ,KITSUKI SHI
44211,宇佐市,ウサシ,USA SHI
44212,豊後大野市,ブンゴオオノシ,BUNGOONO SHI
44213,由布市,ユフシ,YUFU SHI
44214,国東市,クニサキシ,KUNISAKI SHI
44322,東国東郡姫島村,ヒガシクニサキグンヒメシマムラ,HIGASHIKUNISAKI GUN HIMESHIMA MURA
44341,速見郡日出町,ハヤミグンヒジマチ,HAYAMI GUN HIJI MACHI
44461,玖珠郡九重町,クスグンココノエマチ,KUSU GUN KOKONOE MACHI
44462,玖珠郡玖珠町,クスグンクスマチ,KUSU GUN KUSU MACHI
