code,name,name_kana,name_romaji
20201,長野市,ナガノシ,NAGANO SHI
20202,松本市,マツモトシ,MATSUMOTO SHI
20203,上田市,ウエダシ,UEDA SHI
20204,岡谷市,オカヤシ,OKAYA SHI
20205,飯田市,イイダシ,IIDA SHI
20206,諏訪市,スワシ,SUWA SHI
20207,須坂市,スザカシ,SUZAKA SHI
20208,小諸市,コモロシ,KOMORO SHI
20209,伊那市,イナシ,INA SHI
20210,駒ヶ根市,コマガネシ,KOMAGANE SHI
20211,中野市,ナカノシ,NAKANO SHI
20212,大町市,オオマチシ,OMACHI SHI
20213,飯山市,イイヤマシ,IIYAMA SHI
20214,茅野市,チノシ,CHINO SHI
20215,塩尻市,シオジリシ,SHIOJIRI SHI
20217,佐久市,サクシ,SAKU SHI
20218,千曲市,チクマシ,CHIKUMA SHI
20219,東御市,トウミシ,TOMI SHI
20220,安曇野市,アヅミノシ,AZUMINO SHI
20303,南佐久郡小海町,ミナミサクグンコウミマチ,MINAMISAKU GUN KOMI MACHI
20304,南佐久郡川上村,ミナミサクグンカワカミムラ,MINAMISAKU GUN KAWAKAMI MURA
20305,南佐久郡南牧村,ミナミサクグンミナミマキムラ,MINAMISAKU GUN MINAMIMAKI MURA
20306,南佐久郡南相木村,ミナミサクグンミナミアイキムラ,MINAMISAKU GUN MINAMIAIKI MURA
20307,南佐久郡北相木村,ミナミサクグンキタアイキムラ,MINAMISAKU GUN KITAAIKI MURA
20309,南佐久郡佐久穂町,ミナミサクグンサクホマチ,MINAMISAKU GUN SAKUHO MACHI
20321,北佐久郡軽井沢町,キタサクグンカルイザワマチ,KITASAKU GUN KARUIZAWA MACHI
20323,北佐久郡御代田町,キタサクグンミヨタマチ,KITASAKU GUN MIYOTA MACHI
20324,北佐久郡立科町,キタサクグンタテシナマチ,KITASAKU GUN TATESHINA MACHI
20349,小県郡青木村,チイサガタグンアオキムラ,CHIISAGATA GUN AOKI MURA
20350,小県郡長和町,チイサガタグンナガワマチ,CHIISAGATA GUN NAGAWA MACHI
20361,諏訪郡下諏訪町,スワグンシモスワマチ,SUWA GUN SHIMOSUWA MACHI
20362,諏訪郡富士見町,スワグンフジミマチ,SUWA GUN FUJIMI MACHI
20363,諏訪郡原村,スワグンハラムラ,SUWA GUN HARA MURA
20382,上伊那郡辰野町,カミイナグンタツノマチ,KAMIINA GUN TATSUNO MACHI
20383,上伊那郡箕輪町,カミイナグンミノワマチ,KAMIINA GUN MINOWA MACHI
20384,上伊那郡飯島町,カミイナグンイイジママチ,KAMIINA GUN IIJIMA MACHI
20386,上伊那郡中川村,カミイナグンナカガワムラ,KAMIINA GUN NAKAGAWA MURA
20388,上伊那郡宮田村,カミイナグンミヤダムラ,KAMIINA GUN MIYADA MURA
20402,下伊那郡松川町,シモイナグンマツカワマチ,SHIMOINA GUN MATSUKAWA MACHI
20403,下伊那郡高森町,シモイナグンタカモリマチ,SHIMOINA GUN TAKAMORI MACHI
20404,下伊那郡阿南町,シモイナグンアナンチョウ,SHIMOINA GUN ANAN CHO
20407,下伊那郡阿智村,シモイナグンアチムラ,SHIMOINA GUN ACHI MURA
20409,下伊那郡平谷村,シモイナグンヒラヤムラ,SHIMOINA GUN HIRAYA MURA
20410,下伊那郡根羽村,シモイナグンネバムラ,SHIMOINA GUN NEBA MURA
20411,下伊那郡下條村,シモイナグンシモジョウムラ,SHIMOINA GUN SHIMOJO MURA
20412,下伊那郡売木村,シモイナグンウルギムラ,SHIMOINA GUN URUGI MURA
20413,下伊那郡天龍村,シモイナグンテンリュウムラ,SHIMOINA GUN TENRYU MURA
20414,下伊那郡泰阜村,シモイナグンヤスオカムラ,SHIMOINA GUN YASUOKA MURA
20415,下伊那郡喬木村,シモイナグンタカギムラ,SHIMOINA GUN TAKAGI MURA
20416,下伊那郡豊丘村,シモイナグントヨオカムラ,SHIMOINA GUN TOYOKA MURA
20417,下伊那郡大鹿村,シモイナグンオオシカムラ,SHIMOINA GUN OSHIKA MURA
20422,木曽郡上松町,キソグンアゲマツマチ,KISO GUN AGEMATSU MACHI
20423,木曽郡南木曽町,キソグンナギソマチ,KISO GUN NAGISO MACHI
20425,木曽郡木祖村,キソグンキソムラ,KISO GUN KISO MURA
20429,木曽郡王滝村,キソグンオウタキムラ,KISO GUN OTAKI MURA
20430,木曽郡大桑村,キソグンオオクワムラ,KISO GUN OKUWA MURA
20432,木曽郡木曽町,キソグンキソマチ,KISO GUN KISO MACHI
20446,東筑摩郡麻績村,ヒガシチクマグンオミムラ,HIGASHICHIKUMA GUN OMI MURA
20448,東筑摩郡生坂村,ヒガシチクマグンイクサカムラ,HIGASHICHIKUMA GUN IKUSAKA MURA
20450,東筑摩郡山形村,ヒガシチクマグンヤマガタムラ,HIGASHICHIKUMA GUN YAMAGATA MURA
20451,東筑摩郡朝日村,ヒガシチクマグンアサヒムラ,HIGASHICHIKUMA GUN ASAHI MURA
20452,東筑摩郡筑北村,ヒガシチクマグンチクホクムラ,HIGASHICHIKUMA GUN CHIKUHOKU MURA
20481,北安曇郡池田町,キタアヅミグンイケダマチ,KITAAZUMI GUN IKEDA MACHI
20482,北安曇郡松川村,キタアヅミグンマツカワムラ,KITAAZUMI GUN MATSUKAWA MURA
20485,北安曇郡白馬村,キタアヅミグンハクバムラ,KITAAZUMI GUN HAKUBA MURA
20486,北安曇郡小谷村,キタアヅミグンオタリムラ,KITAAZUMI GUN OTARI MURA
20521,埴科郡坂城町,ハニシナグンサカキマチ,HANISHINA GUN SAKAKI MACHI
20541,上高井郡小布施町,カミタカイグンオブセマチ,KAMITAKAI GUN OBUSE MACHI
20543,上高井郡高山村,カミタカイグンタカヤマムラ,KAMITAKAI GUN TAKAYAMA MURA
