code,name,name_kana,name_romaji
13101,千代田区,チヨダク,CHIYODA KU
13102,中央区,チュウオウク,CHUO KU
13103,港区,ミナトク,MINATO KU
13104,新宿区,シンジュクク,SHINJUKU KU
13105,文京区,ブンキョウク,BUNKYO KU
13106,台東区,タイトウク,TAITO KU
13107,墨田区,スミダク,SUMIDA KU
13108,江東区,コウトウク,KOTO KU
13109,品川区,シナガワク,SHINAGAWA KU
13110,目黒区,メグロク,MEGURO KU
13111,大田区,オオタク,OTA KU
13112,世田谷区,セタガヤク,SETAGAYA KU
13113,渋谷区,シブヤク,SHIBUYA KU
13114,中野区,ナカノク,NAKANO KU
13115,杉並区,スギナミク,SUGINAMI KU
13116,豊島区,トシマク,TOSHIMA KU
13117,北区,キタク,KITA KU
13118,荒川区,アラカワク,ARAKAWA KU
13119,板橋区,イタバシク,ITABASHI KU
13120,練馬区,ネリマク,NERIMA KU
13121,足立区,アダチク,ADACHI KU
13122,葛飾区,カツシカク,KATSUSHIKA KU
13123,江戸川区,エドガワク,EDOGAWA KU
13201,八王子市,ハチオウジシ,HACHIOJI SHI
13202,立川市,タチカワシ,TACHIKAWA SHI
13203,武蔵野市,ムサシノシ,MUSASHINO SHI
13204,三鷹市,ミタカシ,MITAKA SHI
13205,青梅市,オウメシ,OME SHI
13206,府中市,フチュウシ,FUCHU SHI
13207,昭島市,アキシマシ,AKISHIMA SHI
13208,調布市,チョウフシ,CHOFU SHI
13209,町田市,マチダシ,MACHIDA SHI
13210,小金井市,コガネイシ,KOGANEI SHI
13211,小平市,コダイラシ,KODAIRA SHI
13212,日野市,ヒノシ,HINO SHI
13213,東村山市,ヒガシムラヤマシ,HIGASHIMURAYAMA SHI
13214,国分寺市,コクブンジシ,KOKUBUNJI SHI
13215,国立市,クニタチシ,KUNITACHI SHI
13218,福生市,フッサシ,FUSSA SHI
13219,狛江市,コマエシ,KOMAE SHI
13220,東大和市,ヒガシヤマトシ,HIGASHIYAMATO SHI
13221,清瀬市,キヨセシ,KIYOSE SHI
13222,東久留米市,ヒガシクルメシ,HIGASHIKURUME SHI
13223,武蔵村山市,ムサシムラヤマシ,MUSASHIMURAYAMA SHI
13224,多摩市,タマシ,TAMA SHI
13225,稲城市,イナギシ,INAGI SHI
13227,羽村市,ハムラシ,HAMURA SHI
13228,あきる野市,アキルノシ,AKIRUNO SHI
13229,西東京市,ニシトウキョウシ,NISHITOKYO SHI
13303,西多摩郡瑞穂町,ニシタマグンミズホマチ,NISHITAMA GUN MIZUHO MACHI
13305,西多摩郡日の出町,ニシタマグンヒノデマチ,NISHITAMA GUN HINODE MACHI
13307,西多摩郡檜原村,ニシタマグンヒノハラムラ,NISHITAMA GUN HINOHARA MURA
13308,西多摩郡奥多摩町,ニシタマグンオクタママチ,NISHITAMA GUN OKUTAMA MACHI
13361,大島町,オオシママチ,OSHIMA MACHI
13363,新島村,ニイジマムラ,NIIJIMA MURA
13364,神津島村,コウヅシマムラ,KOZUSHIMA MURA
13381,三宅村,ミヤケムラ,MIYAKE MURA
13382,御蔵島村,ミクラジマムラ,MIKURAJIMA MURA
13401,八丈町,ハチジョウマチ,HACHIJO MACHI
13402,青ヶ島村,アオガシマムラ,AOGASHIMA MURA
13421,小笠原村,オガサワラムラ,OGASAWARA MURA
