code,name,name_kana,name_romaji
42201,長崎市,ナガサキシ,NAGASAKI SHI
42202,佐世保市,サセボシ,SASEBO SHI
42203,島原市,シマバラシ,SHIMABARA SHI
42204,諫早市,イサハヤシ,ISAHAYA SHI
42205,大村市,オオムラシ,OMURA SHI
42207,平戸市,ヒラドシ,HIRADO SHI
42208,松浦市,マツウラシ,MATSURA SHI
42209,対馬市,ツシマシ,TSUSHIMA SHI
42210,壱岐市,イキシ,IKI SHI
42211,五島市,ゴトウシ,GOTO SHI
42212,西海市,サイカイシ,SAIKAI SHI
42213,雲仙市,ウンゼンシ,UNZEN SHI
42214,南島原市,ミナミシマバラシ,MINAMISHIMABARA SHI
42307,西彼杵郡長与町,ニシソノギグンナガヨチョウ,NISHISONOGI GUN NAGAYO CHO
42308,西彼杵郡時津町,ニシソノギグントギツチョウ,NISHISONOGI GUN TOGITSU CHO
42321,東彼杵郡東彼杵町,ヒガシソノギグンヒガシソノギチョウ,HIGASHISONOGI GUN HIGASHISONOGI CHO
42322,東彼杵郡川棚町,ヒガシソノギグンカワタナチョウ,HIGASHISONOGI GUN KAWATANA CHO
42323,東彼杵郡波佐見町,ヒガシソノギグンハサミチョウ,HIGASHISONOGI GUN HASAMI CHO
42383,北松浦郡小値賀町,キタマツウラグンオヂカチョウ,KITAMATSURA GUN OJIKA CHO
42391,北松浦郡佐々町,キタマツウラグンサザチョウ,KITAMATSURA GUN SAZA CHO
42411,南松浦郡新上五島町,ミナミマツウラグンシンカミゴトウチョウ,MINAMIMATSURA GUN SHINKAMIGOTO CHO
