code,name,name_kana,name_romaji
17201,金沢市,カナザワシ,KANAZAWA SHI
17202,七尾市,ナナオシ,NANAO SHI
17203,小松市,コマツシ,KOMATSU SHI
17204,輪島市,ワジマシ,WAJIMA SHI
17205,珠洲市,スズシ,SUZU SHI
17206,加賀市,カガシ,KAGA SHI
17207,羽咋市,ハクイシ,HAKUI SHI
17209,かほく市,カホクシ,KAHOKU SHI
17210,白山市,ハクサンシ,HAKUSAN SHI
17211,能美市,ノミシ,NOMI SHI
17212,野々市市,ノノイチシ,NONOICHI SHI
17324,能美郡川北町,ノミグンカワキタマチ,NOMI GUN KAWAKITA MACHI
17361,河北郡津幡町,カホクグンツバタマチ,KAHOKU GUN TSUBATA MACHI
17365,河北郡内灘町,カホクグンウチナダマチ,KAHOKU GUN UCHINADA MACHI
17384,羽咋郡志賀町,ハクイグンシカマチ,HAKUI GUN SHIKA MACHI
17386,羽咋郡宝達志水町,ハクイグンホウダツシミズチョウ,HAKUI GUN HODATSUSHIMIZU CHO
17407,鹿島郡中能登町,カシマグンナカノトマチ,KASHIMA GUN NAKANOTO MACHI
17461,鳳珠郡穴水町,ホウスグンアナミズマチ,HOSU GUN ANAMIZU MACHI
17463,鳳珠郡能登町,ホウスグンノトチョウ,HOSU GUN NOTO CHO
