code,name,name_kana,name_romaji
16201,富山市,トヤマシ,TOYAMA SHI
16202,高岡市,タカオカシ,TAKAOKA SHI
16204,魚津市,ウオヅシ,UOZU SHI
16205,氷見市,ヒミシ,HIMI SHI
16206,滑川市,ナメリカワシ,NAMERIKAWA SHI
16207,黒部市,クロベシ,KUROBE SHI
16208,砺波市,トナミシ,TONAMI SHI
16209,小矢部市,オヤベシ,OYABE SHI
16210,南砺市,ナントシ,NANTO SHI
16211,射水市,イミズシ,IMIZU SHI
16321,中新川郡舟橋村,ナカニイカワグンフナハシムラ,NAKANIIKAWA GUN FUNAHASHI MURA
16322,中新川郡上市町,ナカニイカワグンカミイチマチ,NAKANIIKAWA GUN KAMIICHI MACHI
16323,中新川郡立山町,ナカニイカワグンタテヤママチ,NAKANIIKAWA GUN TATEYAMA MACHI
16342,下新川郡入善町,シモニイカワグンニュウゼンマチ,SHIMONIIKAWA GUN NYUZEN MACHI
16343,下新川郡朝日町,シモニイカワグンアサヒマチ,SHIMONIIKAWA GUN ASAHI MACHI
