code,name,name_kana,name_romaji
41201,佐賀市,サガシ,SAGA SHI
41202,唐津市,カラツシ,KARATSU SHI
41203,鳥栖市,トスシ,TOSU SHI
41204,多久市,タクシ,TAKU SHI
41205,伊万里市,イマリシ,IMARI SHI
41206,武雄市,タケオシ,TAKEO SHI
41207,鹿島市,カシマシ,KASHIMA SHI
41208,小城市,オギシ,OGI SHI
41209,嬉野市,ウレシノシ,URESHINO SHI
41210,神埼市,カンザキシ,KANZAKI SHI
41327,神埼郡吉野ヶ里町,カンザキグンヨシノガリチョウ,KANZAKI GUN YOSHINOGARI CHO
41341,三養基郡基山町,ミヤキグンキヤマチョウ,MIYAKI GUN KIYAMA CHO
41345,三養基郡上峰町,ミヤキグンカミミネチョウ,MIYAKI GUN KAMIMINE CHO
41346,三養基郡みやき町,ミヤキグンミヤキチョウ,MIYAKI GUN MIYAKI CHO
41387,東松浦郡玄海町,ヒガシマツウラグンゲンカイチョウ,HIGASHIMATSURA GUN GENKAI CHO
41401,西松浦郡有田町,ニシマツウラグンアリタチョウ,NISHIMATSURA GUN ARITA CHO
41423,杵島郡大町町,キシマグンオオマチチョウ,KISHIMA GUN OMACHI CHO
41424,杵島郡江北町,キシマグンコウホクマチ,KISHIMA GUN KOHOKU MACHI
41425,杵島郡白石町,キシマグンシロイシチョウ,KISHIMA GUN SHIROISHI CHO
41441,藤津郡太良町,フジツグンタラチョウ,FUJITSU GUN TARA CHO
